210,192.168.29.227,162.247.243.29,59592,443,Jan 20\, 2025 19:27:41.510094000 IST
211,162.247.243.29,192.168.29.227,443,59592,Jan 20\, 2025 19:27:41.521718000 IST
212,162.247.243.29,192.168.29.227,443,59592,Jan 20\, 2025 19:27:41.523315000 IST
213,192.168.29.227,162.247.243.29,59592,443,Jan 20\, 2025 19:27:41.523375000 IST
214,192.168.29.227,162.247.243.29,59592,443,Jan 20\, 2025 19:27:41.523818000 IST
215,192.168.29.227,162.247.243.29,59592,443,Jan 20\, 2025 19:27:41.524120000 IST
216,162.247.243.29,192.168.29.227,443,59592,Jan 20\, 2025 19:27:41.533490000 IST
217,162.247.243.29,192.168.29.227,443,59592,Jan 20\, 2025 19:27:41.533493000 IST
218,192.168.29.227,13.233.239.221,59474,27017,Jan 20\, 2025 19:27:41.634452000 IST
219,192.168.29.227,162.247.243.29,59593,443,Jan 20\, 2025 19:27:41.749880000 IST
220,162.247.243.29,192.168.29.227,443,59591,Jan 20\, 2025 19:27:41.775418000 IST
221,192.168.29.227,162.247.243.29,59591,443,Jan 20\, 2025 19:27:41.775622000 IST
222,192.168.29.227,162.247.243.29,59591,443,Jan 20\, 2025 19:27:41.776458000 IST
223,192.168.29.227,162.247.243.29,59591,443,Jan 20\, 2025 19:27:41.776480000 IST
224,162.247.243.29,192.168.29.227,443,59592,Jan 20\, 2025 19:27:41.781693000 IST
225,192.168.29.227,162.247.243.29,59592,443,Jan 20\, 2025 19:27:41.781751000 IST
226,192.168.29.227,162.247.243.29,59592,443,Jan 20\, 2025 19:27:41.783148000 IST
227,13.233.239.221,192.168.29.227,27017,59474,Jan 20\, 2025 19:27:41.788469000 IST
228,192.168.29.227,13.233.239.221,59474,27017,Jan 20\, 2025 19:27:41.788639000 IST
229,13.232.68.211,192.168.29.227,27017,59432,Jan 20\, 2025 19:27:41.791983000 IST
230,162.247.243.29,192.168.29.227,443,59592,Jan 20\, 2025 19:27:41.791985000 IST
231,192.168.29.227,13.232.68.211,59432,27017,Jan 20\, 2025 19:27:41.792190000 IST
232,,,,,Jan 20\, 2025 19:27:41.947776000 IST
233,,,,,Jan 20\, 2025 19:27:41.966615000 IST
234,,,,,Jan 20\, 2025 19:27:41.966729000 IST
235,,,,,Jan 20\, 2025 19:27:41.966821000 IST
236,,,,,Jan 20\, 2025 19:27:41.981622000 IST
237,,,,,Jan 20\, 2025 19:27:41.981624000 IST
238,,,,,Jan 20\, 2025 19:27:41.984325000 IST
239,,,,,Jan 20\, 2025 19:27:41.991709000 IST
240,,,,,Jan 20\, 2025 19:27:41.991739000 IST
241,,,,,Jan 20\, 2025 19:27:41.991741000 IST
242,,,,,Jan 20\, 2025 19:27:41.991946000 IST
243,,,,,Jan 20\, 2025 19:27:41.993403000 IST
